Feats	FeatsGroup	1	2	3	4	5	6	7	8	9	10	11	12
aux_form_dist_Fin	VerbInflection	0.00593896010785405	0.00543712764309537	0.0125185805092752	0.012358281332581	-0.00456424746411072	-0.0114914768369307	0.00281369806939007	0.000502252226050861	-0.00234266321844522	-0.0144549128949756	0.0124063687801941	0.0168133915402706
aux_mood_dist_Ind	VerbInflection	0.00762463721298174	-0.0098473871444591	0.00114813180389512	-0.010119042004956	-0.000776588136214156	-0.0111350239253116	-0.0269995973097295	-0.0266472901811793	-0.0285422893619918	-0.0164024559705573	-0.00362610280837685	-0.0103830475620618
aux_num_pers_dist_Sing+3	VerbInflection	-0.0150569368157921	-0.0162318423286815	-0.0226844884203389	0.000870466612819086	-0.0263197262031709	-0.0316767924020992	-0.0409090041599589	-0.0470429810905016	-0.0471942542148215	-0.0259332238615382	-0.000646214744359601	-0.0282011261593337
aux_tense_dist_Pres	VerbInflection	-0.0113613249589414	0.00866495794988993	0.00100539425164144	-0.00407196309717556	-0.00669034702541508	-2.00338002708978E-05	-0.00968073678618898	-0.00722914564375315	-0.0238855461739192	-0.0360555402452979	-0.00491335721712825	-0.0250411307988054
avg_links_len	TreeStructure	-0.00943820762544131	-0.0164608002276445	-0.0376051151646637	0.0118683352224755	-0.00133308738203556	-0.010942232376803	-0.00427746625883455	0.0075311612679526	0.0285934643813225	0.0285767002990443	0.0501311752926967	0.0379383531775358
avg_max_depth	TreeStructure	0.0103191120649141	0.0229068308320681	0.0277305858851883	0.0191272356608164	0.0293855345080263	0.00826266860480482	0.0138666851388703	-0.00415877486649178	0.00246375419550411	0.00954304996328796	-0.0140691165466423	0.00294198568242164
avg_max_links_len	TreeStructure	-0.00449975673384764	0.00909204905433066	-0.0138171197877154	0.000873574132321049	-0.0106841391745259	0.00573589095499678	0.02343282522738	-0.0163271030980476	0.0152165330369946	0.00543395498301337	0.0246388595301646	0.00979617374741948
avg_prepositional_chain_len	TreeStructure	0.0117644849674789	-0.00406736150397648	-0.0167287035738998	-0.0013687054199715	0.00144782788362516	-0.0179120576635043	-0.00486908896623896	0.00986719473485534	0.0125201852697803	-0.00226406625981507	-0.0084244732244655	0.0207807208903442
avg_subordinate_chain_len	Subord	0.0113987113331184	0.0143326075085457	0.0225573265262416	-0.00734698014245796	-0.017070235131696	-0.00393126009372454	0.0112291317891909	0.0337219091171508	0.0164716269576366	0.0243186810789568	0.0329524873590781	0.00989257319327778
avg_token_per_clause	TreeStructure	0.0340655805786336	-0.00369767842894612	0.0258857556581981	0.0248819382396776	-0.0154450682791424	-0.0130949921356281	0.0118015566177015	-0.00707349770111574	-0.00533328374351488	-0.0394023099393381	-0.00672900913647071	-0.0245988968968863
avg_verb_edges	VerbPredicate	0.0118453587847981	0.0104311633254661	-0.00294281814392696	0.00181315997236547	-0.00707190674562783	-0.041026009727751	-0.0446355886106148	-0.0295365645088302	-0.0230704326335466	0.0135971123148482	0.0207979732285193	0.00355556266299895
dep_dist_advcl	SyntacticDep	-0.00873204919531322	-0.0275994512808193	-0.011875479780851	-0.0292602264271759	-0.00474991154180849	-0.0188191985136599	-0.0237289394067152	-0.0117420931035142	-0.0103222449699358	-0.0265979249138271	0.0109965506808214	0.00942721092897911
dep_dist_advmod	SyntacticDep	-0.00543328697989679	-0.000662078822979366	0.0115345869926417	0.0129543992537876	0.00551374114183646	0.0161373252597163	-0.00365594230421238	0.00476721634591316	0.0194484799865233	0.0051238591016923	0.00615647037313857	0.00920468562893052
dep_dist_amod	SyntacticDep	-0.00501590490161916	-0.000653911994091562	-0.0212591634764084	-0.0401772976226859	-0.0234200237581586	-0.0159260796393541	-0.0298147506508214	-0.0220993619701562	0.00565657568148683	0.00822551292477257	0.0399160809413791	0.0159603357209243
dep_dist_aux	SyntacticDep	-0.03030803889272	-0.0336794180997927	-0.0330743151175897	-0.034568082387771	-0.00711184685366356	-0.027884658301492	0.00107938124932975	-0.004605660814961	-0.00734257210053518	-0.00891388344920829	0.00538195484633562	0.0170311751844693
dep_dist_case	SyntacticDep	0.0150571134905361	0.0324328406147575	0.0189752462347674	-0.00234363761284636	0.0108544068814195	0.00275353142178838	0.00705354076378689	0.000385708399335044	0.00261816460297217	0.00538997080976315	0.00820196578960492	-0.0184837648478532
dep_dist_cc	SyntacticDep	0.0145029459702646	0.0282266568970625	0.00800910719425282	0.0034110490776606	-0.00431639843094988	0.016360448973374	0.0279611317732577	0.0186827906766031	0.0400685991933167	0.00320424493466928	-0.0145694897499457	-0.0313482610888881
dep_dist_conj	SyntacticDep	-0.00180865656700481	-0.0191641916113103	-0.0222745358963563	-0.00799560848825216	0.00251412828171935	-0.00978983810071653	-0.0121059776878137	-0.0152405611196625	-0.0238639510048807	0.0177998116858505	0.0172413766090776	0.0104055452408153
dep_dist_cop	SyntacticDep	0.0164196059901957	0.000691817235582754	0.0114202951329764	-0.00036106269624188	-0.0123646276772152	-0.027828973274983	-0.0112873077391326	0.000954638217481905	0.00532207153502892	0.0125947748820426	-0.01292805660483	0.0287529903764499
dep_dist_det	SyntacticDep	-0.0370867313757583	-0.0311754854760482	0.0106064530227368	0.022802126719561	-0.00499570088773105	-0.00436436392936175	-0.00431345695887412	0.0202072153587502	-0.0398394445286848	-0.0378830037405731	0.00383553617095517	-0.0296776501673783
dep_dist_mark	SyntacticDep	0.0153050867679057	0.0201627286656435	-0.00230586406539966	0.00621389478428218	-0.000399248414178713	0.0112158718622275	0.000500413876634589	0.00938248347927149	0.0169071554101427	-0.00178839362625989	-0.0249751606118281	-0.0223259004772671
