Feats	FeatsGroup	1	2	3	4	5	6	7	8	9	10	11	12
aux_form_dist_Fin	VerbInflection	0.375747038474015	0.40330506328542	0.408489308354328	0.417421290961138	0.411992238198626	0.405487465794758	0.388378677219375	0.372207266837424	0.35798146066252	0.354968796780067	0.334541878735105	0.283915040164177
aux_mood_dist_Ind	VerbInflection	0.518609671888323	0.524451987307728	0.55188253479505	0.54231093518847	0.550412789266662	0.55758539881554	0.541830715125168	0.518940355774263	0.513041150405201	0.485137035799187	0.465353367970851	0.419098097890761
aux_num_pers_dist_Sing+3	VerbInflection	0.602398673187172	0.615690665492374	0.652562226412297	0.63776848956597	0.645428107723665	0.641897283211316	0.635685215011777	0.608763033917585	0.584930703538833	0.581305922048769	0.555371617998219	0.519515656761048
aux_tense_dist_Pres	VerbInflection	0.556544650507183	0.564388000065068	0.579040733670258	0.564406142845326	0.567179850273214	0.569981079006274	0.529754873308941	0.511283901510192	0.494147225030047	0.49426970574643	0.502275175123431	0.455415580494003
avg_links_len	TreeStructure	0.456362185965009	0.45727919983658	0.482981662847698	0.49469215593766	0.497458059342782	0.51661957315412	0.594571741664971	0.61854055549248	0.629048513924585	0.624847211559944	0.587536652413651	0.522221978024799
avg_max_depth	TreeStructure	0.545280061141591	0.546661251897992	0.554114095589845	0.567639443286097	0.570543430712357	0.58655498036169	0.609957341501875	0.620841409216936	0.622627861315307	0.618627960189119	0.630444214196569	0.568176168191526
avg_max_links_len	TreeStructure	0.493517458233391	0.493512354496721	0.505450406633074	0.522875563575863	0.521206678917364	0.535434978630971	0.601561545380102	0.617709464439815	0.623527840115069	0.626311444082833	0.599426759389072	0.552579996193298
avg_prepositional_chain_len	TreeStructure	0.437331754048469	0.437348619262948	0.434975003262815	0.429041747408531	0.453739998891015	0.449599283859178	0.460198668394359	0.45875374174336	0.449084453515095	0.430404365268442	0.394122406060728	0.326696615022889
avg_subordinate_chain_len	Subord	0.524965923054098	0.510838017237719	0.500068976029449	0.514082019180496	0.51825444627479	0.528255437023182	0.527937747026104	0.500262636405775	0.501863661309267	0.492886624113869	0.461026582272202	0.400779133162278
avg_token_per_clause	TreeStructure	0.680290960575475	0.673962183347277	0.658515481934079	0.659997925166788	0.672821778333955	0.698498979867868	0.700116478549207	0.699409957220359	0.676147054023731	0.655268637865971	0.615072128475713	0.552556997956033
avg_verb_edges	VerbPredicate	0.326705272375742	0.309862543534635	0.310552698763529	0.288390197224039	0.308399881182229	0.343044086235662	0.350836910937741	0.355659539971511	0.350261924454536	0.340469439159843	0.335284764960892	0.286536080891784
dep_dist_advcl	SyntacticDep	0.414108819819619	0.384960629449967	0.371281862044832	0.368884464909568	0.397277050257138	0.409655842671047	0.42496474264753	0.418595406560026	0.406981125074224	0.396439732933908	0.346946086983844	0.32032730307626
dep_dist_advmod	SyntacticDep	0.787283683081053	0.756426054745833	0.745152447101292	0.736337553508092	0.734536147658392	0.738834624790117	0.713188659628855	0.698974705643451	0.647626494262961	0.627925737403741	0.568959766310145	0.48678136753405
dep_dist_amod	SyntacticDep	0.696755676491101	0.686632370444205	0.664945301647	0.673728683003961	0.685399658303153	0.68713547391003	0.702066385076194	0.700888392902648	0.674345048506425	0.67381398764759	0.609036505701276	0.529825186424027
dep_dist_aux	SyntacticDep	0.702446557294613	0.682290326384285	0.694914853979635	0.695055929497077	0.699756148548539	0.69878259082211	0.694092242974004	0.68699032842736	0.661568792172075	0.664388609458794	0.635581912161405	0.57734484132442
dep_dist_case	SyntacticDep	0.878982062660286	0.873677010800798	0.861208615528712	0.860860068994553	0.860226305643098	0.87829791740114	0.87509444888888	0.86207684497534	0.832890280631392	0.781750681883227	0.711263741062616	0.608149570826092
dep_dist_cc	SyntacticDep	0.874947914484345	0.859445596737361	0.844568505329703	0.839297699573583	0.85564958139947	0.864714215747499	0.854372592000134	0.83325841464846	0.791045971217859	0.753763406422338	0.683074262277702	0.578210200472728
dep_dist_conj	SyntacticDep	0.77284022129675	0.766734330378024	0.766566025595388	0.771479281549593	0.774878899535526	0.794596642762767	0.80916218828905	0.80155674013865	0.784982222122313	0.763522712516437	0.719014627792713	0.639189920546486
dep_dist_cop	SyntacticDep	0.490701547866365	0.501012968420162	0.495151337295912	0.464150653381572	0.496433113194353	0.503961724500083	0.490684950737159	0.485444725227248	0.458026494026549	0.453051874145068	0.431458765851199	0.379975565497716
dep_dist_det	SyntacticDep	0.896659195578555	0.892032958095876	0.881208921153836	0.877087149906953	0.87120785245905	0.877210252973113	0.864029832821858	0.845323111427314	0.815930948566287	0.783041014284277	0.703354232755285	0.605286948040496
dep_dist_mark	SyntacticDep	0.638523979046978	0.620310676311573	0.61561253181839	0.619482867589847	0.641831888329634	0.665743617212236	0.6875651143371	0.665713936166831	0.676641988190377	0.650766223330661	0.603117475861302	0.543874413412238
dep_dist_nmod	SyntacticDep	0.7262712068204	0.727565561133723	0.723626393204872	0.719117088862852	0.730223848235507	0.729717776191373	0.735235380241562	0.743678461491217	0.726175344503315	0.687242157506035	0.634081771085919	0.542651402045849
dep_dist_nsubj	SyntacticDep	0.623671276303713	0.626838298003466	0.61766785442038	0.623607866355727	0.628645479645686	0.647273891889566	0.66162027428473	0.664451739913002	0.653323612413961	0.618325623115927	0.57999019066878	0.5247308523341
dep_dist_obj	SyntacticDep	0.622658264907049	0.613480553323028	0.607711559811643	0.611453612203961	0.616608073348133	0.659637363237519	0.669637343160255	0.659104823067961	0.645273467543375	0.612821434027965	0.567826840058982	0.500751795925615
