Feats	FeatsGroup	1	2	3	4	5	6	7	8	9	10	11	12
aux_form_dist_Fin	VerbInflection	0.719170479575794	0.713182317016574	0.710111275783556	0.705633876478472	0.711673145495358	0.711979624922239	0.707839415083581	0.702730241544525	0.684220852929889	0.665874680738568	0.638425452314158	0.643940710161703
aux_mood_dist_Ind	VerbInflection	0.730104451505329	0.72966390648154	0.728020479339987	0.725083814030683	0.729466069999341	0.727610015998	0.726589089004974	0.715891359220244	0.697609147130987	0.685301457793284	0.650938967152844	0.664238222168965
aux_num_pers_dist_Sing+3	VerbInflection	0.678954231792511	0.67565481904355	0.679716835372953	0.673862305296385	0.680460575174949	0.684101578005019	0.674607141162123	0.660519821198165	0.646968767185064	0.639019432666174	0.614679495752793	0.606322893034879
aux_tense_dist_Pres	VerbInflection	0.697409180951314	0.695742663542891	0.691954545175183	0.691952783027747	0.699867064115297	0.697503614977473	0.695934358881062	0.682938937286245	0.670490586773051	0.658020273197348	0.634014623771975	0.638442404553715
avg_links_len	TreeStructure	0.727766942994223	0.727473277383412	0.7324263356683	0.729623603706031	0.722741553783316	0.739252117496742	0.738155095382838	0.730465448949974	0.722139616457649	0.710431144833954	0.657493138206921	0.629102051928924
avg_max_depth	TreeStructure	0.735875785285637	0.740779457352608	0.737047942763433	0.734159451475292	0.737342861888424	0.745530962110858	0.750435154995197	0.748704663440933	0.741362999522193	0.71601266289307	0.668900201319414	0.650719665622634
avg_max_links_len	TreeStructure	0.747886936140523	0.745477508108102	0.751496156657869	0.74218088135375	0.738419365385164	0.744451242972428	0.74545364675842	0.743875225613077	0.739246442321553	0.733581409951138	0.67867409776055	0.662196074258351
avg_prepositional_chain_len	TreeStructure	0.643004824011976	0.636661784835367	0.641209556330701	0.647218288386402	0.65122748081338	0.654524521407119	0.653168060254647	0.652793176689962	0.640139992230231	0.621537825693998	0.578789572180323	0.533496670278931
avg_subordinate_chain_len	Subord	0.371632098836993	0.361039400020102	0.348605915008807	0.345716804279284	0.35788002000071	0.386238152325849	0.381298527037165	0.388735920775524	0.376703365872466	0.366425879317419	0.316464486441647	0.317483559562245
avg_token_per_clause	TreeStructure	0.728402777601575	0.722819407884825	0.731886910891276	0.726080130888361	0.728700615630087	0.730049744604003	0.753559738185011	0.75408372739221	0.759003920378991	0.747683180740499	0.73479173493337	0.71650073810621
avg_verb_edges	VerbPredicate	0.727796309083986	0.717192869920142	0.721886812781818	0.721890972156862	0.729839207903998	0.732260441291787	0.752183265663204	0.744304350522228	0.738664970543046	0.732832194162076	0.705655048656415	0.660450652597615
dep_dist_advcl	SyntacticDep	0.132374579799093	0.12452790898341	0.121971103696509	0.143600239156499	0.133809360038068	0.120991565118048	0.137332276995703	0.148313156818476	0.149978511181564	0.147099100652379	0.128131143676213	0.128968572404815
dep_dist_advmod	SyntacticDep	0.684822238299861	0.665751223998795	0.66103985131756	0.648564719787366	0.631731081211332	0.628646385371192	0.618703690381043	0.611115584092777	0.616668721093782	0.590061366073781	0.54468529044765	0.524482848937254
dep_dist_amod	SyntacticDep	0.507953595452038	0.495091854620219	0.483170494316395	0.498587395604137	0.495234565020962	0.523343695661881	0.524651510553627	0.522193181131017	0.517571510542893	0.503059789480368	0.461111750062694	0.419887112481233
dep_dist_aux	SyntacticDep	0.512821186083547	0.508421834977468	0.509937860552612	0.509084838492386	0.518623828302499	0.513785676569561	0.518977535590963	0.506321208077443	0.501025681145212	0.481502766485121	0.461238098188401	0.467214876944871
dep_dist_case	SyntacticDep	0.798020299049854	0.799774628240055	0.793731048098168	0.791239518463019	0.799271373465536	0.809975897415524	0.797725596602646	0.78605134884464	0.765610130491842	0.733769567949817	0.65003480438359	0.606496027603378
dep_dist_cc	SyntacticDep	0.498640466515863	0.491933362776835	0.493045439016514	0.496551116975867	0.49515346443628	0.499128522695205	0.491418559140663	0.490260956188431	0.477244457618416	0.469520552344133	0.440740264297885	0.408453552621243
dep_dist_conj	SyntacticDep	0.386942603937547	0.384531110558967	0.382824030915498	0.382150611252383	0.381628712251426	0.387324296501857	0.385943958668813	0.383571600869515	0.390127535469656	0.376135686563145	0.363631828979028	0.338096290058607
dep_dist_cop	SyntacticDep	0.580528606991406	0.581671460336869	0.579391665529447	0.583481216846444	0.582009851657406	0.588004337009901	0.590516656103908	0.588391626696986	0.572124730928627	0.559541020802988	0.541869071463203	0.527786311560878
dep_dist_det	SyntacticDep	0.84868041868909	0.846432569272435	0.837229596897993	0.835365949021104	0.830353279561264	0.832210653576233	0.831909092355425	0.828014902541222	0.808931539866516	0.791152415183689	0.745081190326329	0.699429400179781
dep_dist_mark	SyntacticDep	0.335178510250363	0.333265878244087	0.328494850365682	0.321244940168634	0.318924047575012	0.33485734122203	0.34298396014971	0.340906043244332	0.336600847013106	0.320343509264513	0.289123739583757	0.282022835255445
dep_dist_nmod	SyntacticDep	0.631633800730118	0.62574294508066	0.625146700688402	0.63546612395432	0.645842682445369	0.642297216994851	0.636212801421053	0.638237003059659	0.634632253657297	0.616723963316369	0.575823598455344	0.542646887308541
dep_dist_nsubj	SyntacticDep	0.703491527114596	0.685526245952031	0.685274674663635	0.69243459816263	0.702393320500234	0.708502105208156	0.721292441233815	0.724584856003635	0.720209070876105	0.715812620205124	0.684425640431786	0.677439020754829
dep_dist_obj	SyntacticDep	0.57144928282374	0.56219745567809	0.547990129452585	0.554047945376563	0.556323617146882	0.563890489166438	0.579595469717578	0.570213512790854	0.568510015555984	0.559830768164618	0.531605097208323	0.521278260764459
