Feat_group	feats	1	2	3	4	5	6	7	8	9	10	11	12
VerbInflection	aux_form_dist_Fin	0.073055259478029	0.059467227726426	0.064012612997735	0.051505538937483	0.049274975985109	0.051171872117024	0.05707526255514	0.058306794668763	0.054261771430707	0.042443809821577	0.042061098681204	0.040494164513912
VerbInflection	aux_mood_dist_Ind	0.05927149770594	0.051969473886306	0.056796286856113	0.049509331705862	0.045441700971888	0.047237146177523	0.053141643193735	0.055097917398305	0.049186184486965	0.044147899173865	0.041665172030508	0.039848140960621
VerbInflection	aux_num_pers_dist_Sing+3	0.049477234702774	0.040454222332254	0.052580820161876	0.04207754625031	0.038890968106649	0.041966211869353	0.052040760356293	0.041312297050645	0.034021178938361	0.023024920982087	0.030557637492708	0.013783272326687
VerbInflection	aux_tense_dist_Pres	0.069783045269892	0.060230618271604	0.064072365827477	0.055209070443871	0.051865979503737	0.055922593880834	0.059842365091929	0.058477156651129	0.056394523265556	0.049329198992276	0.048669814518568	0.046509346788479
TreeStructure	avg_links_len	0.333590019287143	0.333520352424495	0.327583249720472	0.327648806884217	0.326868950411461	0.330462292877391	0.326766475709775	0.328187438138808	0.322889720344334	0.319476893408391	0.314368002026117	0.302758580736866
TreeStructure	avg_max_depth	0.529601977542295	0.527146736668442	0.524085507572151	0.522725970085774	0.525634941406798	0.528272840807393	0.527411838061073	0.52136774313188	0.516749545104827	0.51541504801165	0.504197802056276	0.485697398206484
TreeStructure	avg_max_links_len	0.563031864235518	0.56452454387811	0.560215356957181	0.560699427824066	0.561062743309531	0.561327340171005	0.558500797442991	0.557779306040104	0.551860479030444	0.54690503777954	0.535971070866398	0.51916774510419
TreeStructure	avg_prepositional_chain_len	0.157357552748552	0.155059045949577	0.152535494903357	0.155827294922429	0.165598380993213	0.161222295751404	0.156694184491426	0.159083153994193	0.163131883523221	0.160461320534108	0.153891958541865	0.141302878342338
Subord	avg_subordinate_chain_len	0.289034871588827	0.285326868275695	0.286442141519901	0.28666543478659	0.29314259142462	0.292266085467963	0.28984283124785	0.289554503722696	0.288965658458386	0.284139908820637	0.276100151733727	0.267063334624673
TreeStructure	avg_token_per_clause	0.117224154152455	0.124403118004992	0.112940153826115	0.120032530175896	0.121146641428658	0.124385393007277	0.116069521755116	0.110000730441882	0.111010804892658	0.110212323424143	0.116510783189946	0.105395840232069
VerbPredicate	avg_verb_edges	0.123216635660582	0.117642408981489	0.123818869679415	0.129015402053256	0.119710922909111	0.120927503733485	0.123142209700668	0.12641158280164	0.128658140194911	0.128612165196254	0.13025710705699	0.114643015245476
SyntacticDep	dep_dist_advcl	0.052214978841416	0.052546656803947	0.056285943340632	0.05067971503798	0.042551298788675	0.041177888460691	0.048796381992281	0.055568230487065	0.067195882150071	0.050681248250602	0.052749383617524	0.056254274058552
SyntacticDep	dep_dist_advmod	-0.017300906223109	-0.020838001459042	-0.01378999639835	-0.017767517164638	-0.011754878571105	-0.02278638104223	-0.021156940549248	-0.019848340084326	-0.015215032771054	-0.020970228366779	-0.018388271713649	-0.005947242137353
SyntacticDep	dep_dist_amod	0.0106601724551	0.014541178923905	0.005835012712081	0.005977562722739	0.009684960500142	0.010462086132159	0.02004381749154	0.013378712009671	0.016250070855192	0.002708642762561	0.007364934724302	-0.012457558628169
SyntacticDep	dep_dist_aux	0.007593140691842	-0.001007018460136	0.00095980747108	0.004550674531577	-0.001891527353095	0.009240910445454	0.008365835064574	-0.000483341728686	0.004131557042979	-0.007417282103824	-0.018589720664242	-0.009358952020682
SyntacticDep	dep_dist_case	0.035978884005834	0.032186408600313	0.030520340183179	0.036012021862123	0.039009893091792	0.040395351395909	0.043109200613606	0.054696435323998	0.055444424849066	0.043258502798015	0.041012894583369	0.040926387056382
SyntacticDep	dep_dist_cc	0.047379646513127	0.041122255576535	0.037962106773026	0.039670351270596	0.036391437373302	0.021685960718662	0.033123647287181	0.03666819846668	0.045306924040391	0.021451111772777	0.028569479149867	0.028151483866417
SyntacticDep	dep_dist_conj	0.088839421188923	0.087392089026447	0.086510345265672	0.083360073848051	0.083173269802482	0.070746695102352	0.074706428039962	0.075996097990737	0.080867777191399	0.068476895734645	0.067271451522002	0.067510609215397
SyntacticDep	dep_dist_cop	-0.002221324466445	-0.012701872524	0.007712257623121	-0.00180859672023	-0.004994182849294	0.000798971915376	-0.015312332821957	-0.018608937890332	-0.007945330164824	-0.00419135592367	-0.006684843342255	-0.005545444212442
SyntacticDep	dep_dist_det	0.019478321359519	0.007138174848088	0.001150128184849	0.012310801206691	0.007409226761263	0.012995560547133	0.013621217121653	0.015790194278098	0.012904338539944	0.010323702405246	0.023612264374782	0.029027288154717
SyntacticDep	dep_dist_mark	0.071798454283929	0.070438980788802	0.075650977302316	0.067046113486276	0.067782320631581	0.064781215331577	0.071347106662347	0.071164554718539	0.0697416120021	0.065292935208252	0.062465269852451	0.063668940894738
SyntacticDep	dep_dist_nmod	0.00346494139319	0.003710130054023	-0.006108468694145	0.006592074334529	0.019669422959341	0.016804014867558	0.002974859063484	0.019786790903044	0.031784946148476	0.013217735547424	0.017325122608236	0.00935415871343
SyntacticDep	dep_dist_nsubj	0.027964292389272	0.032891762201511	0.025876839193402	0.023966817608467	0.024682828460125	0.021238654943415	0.016543815830215	0.023004333632772	0.039167477836591	0.028108889555664	0.025562763556126	0.034079086532213
SyntacticDep	dep_dist_obj	0.000291815378545	0.004634853494313	0.004677477346911	-0.002005505529109	0.002363268773017	0.009195948060542	0.017499280567907	0.013357695975163	0.001589431648484	0.002917590154989	0.004884737670652	-0.003350344109352
